epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,357916,0.43993,0.66312,0.37658,1.01853,0.9693,0.9596,0.97051,0.83579,0.97714,0.94949,0.96741,0.83569,0.57733,0.92026,0.38992,1.27376,0.0004358,0.0004358,0.0004358
81,361031,0.44972,0.71006,0.39091,1.01234,0.94876,0.9697,0.97388,0.83565,0.97755,0.92929,0.96548,0.84435,0.54889,0.88144,0.41101,1.20626,0.000416,0.000416,0.000416
82,365287,0.45551,0.6813,0.39014,1.01814,0.93195,0.96836,0.97559,0.82865,0.97867,0.92688,0.96741,0.84111,0.58511,0.98032,0.4111,1.2386,0.0003962,0.0003962,0.0003962
83,369870,0.43611,0.65467,0.37535,1.00763,0.96595,0.92929,0.97242,0.83336,0.93076,0.9505,0.96359,0.82134,0.55668,1.02645,0.40093,1.22929,0.0003764,0.0003764,0.0003764
84,374653,0.42554,0.66067,0.36611,1.0002,0.96085,0.93939,0.9708,0.84358,0.94394,0.92929,0.95529,0.83726,0.56766,0.95948,0.42627,1.23603,0.0003566,0.0003566,0.0003566
85,379551,0.42769,0.66398,0.37976,1.00435,0.94055,0.95887,0.96542,0.84087,0.94055,0.95887,0.96009,0.83691,0.53718,1.0705,0.37165,1.22724,0.0003368,0.0003368,0.0003368
86,384462,0.40467,0.64532,0.35524,0.98916,0.96901,0.94742,0.97364,0.83292,0.97272,0.92929,0.9643,0.82977,0.55128,0.9645,0.37929,1.23485,0.000317,0.000317,0.000317
87,389243,0.4048,0.64692,0.3644,0.99608,0.94678,0.9798,0.97667,0.84106,0.97869,0.9278,0.96719,0.84024,0.57022,0.95693,0.39137,1.23249,0.0002972,0.0002972,0.0002972
88,394044,0.40839,0.64707,0.35762,0.98843,0.95967,0.9697,0.97062,0.85075,0.94957,0.9596,0.96271,0.85444,0.5495,1.01686,0.36826,1.22094,0.0002774,0.0002774,0.0002774
89,398967,0.4046,0.65507,0.35407,0.98237,0.96751,0.94949,0.96763,0.85805,0.95845,0.93215,0.96458,0.85367,0.52176,0.99218,0.35862,1.20219,0.0002576,0.0002576,0.0002576
